mx,my,mz
-364,-1780,3815
158,-1735,3583
629,-1721,3466
629,-1721,3466
1103,-1720,3401
1554,-1733,3416
1554,-1743,3454
2007,-1743,3454
2304,-1708,3509
2267,-1645,3498
2267,-1645,3516
2148,-1626,3516
2143,-1610,3553
2124,-1610,3537
-1587,-1129,6230
-1722,-1369,6158
-1722,-1369,6158
-2029,-2001,6216
-2029,-2001,6216
-2029,-2001,6216
-2214,-2811,6731
-2080,-2060,6343
-2080,-2060,6343
-1855,-1859,5563
-1855,-1859,5563
-1474,-1713,4969
-1741,-2811,4816
-1741,-2811,4816
-1741,-2811,4816
-2064,-2915,5409
-2064,-2915,5409
-2001,-4186,6189
-1922,-4399,6702
-1769,-4521,7286
-1366,-4667,7964
-883,-4699,8487
-1872,-3165,7977
-1872,-3165,7977
-1550,-1732,7930
-1425,-1719,8104
-1425,-1719,8104
-1123,-1590,8423
-2046,-1955,6393
-2070,-2061,6582
-1900,-1958,7317
4504,-2116,5224
4842,-2289,5978
4905,-2578,6428
4871,-2403,6245
-1632,-1916,5148
-2042,-2234,6080
-2042,-2234,6080
3265,-1385,8734
3463,-1087,8323
3434,-1034,8310
3432,-1540,8767
3432,-1540,8704
3710,-1751,8704
3891,-2024,8652
3999,-2248,8705
4067,-2473,8699
4112,-2805,8783
4192,-3074,8685
4192,-3074,8685
4377,-3167,8444
4575,-3103,8206
4575,-3103,8206
4668,-2899,7993
4611,-2578,8013
4611,-2578,8013
4432,-2093,8081
4431,-1752,7854
4263,-1539,7806
4263,-1539,7806
4037,-1304,8027
3744,-1517,8548
4159,-1302,7754
4473,-1427,6956
4679,-1705,6594
4679,-1705,6594
4679,-1705,6594
4802,-1936,6264
4647,-1836,5681
4647,-1836,5681
4452,-1770,5304
4449,-1801,5262
4449,-1801,5262
4743,-1891,6096
4743,-1891,6096
4760,-2117,7405
4296,-2530,8530
3739,-2655,8956
4289,-2473,8334
4744,-2307,7377
4744,-2307,7377
4886,-2260,6438
4886,-2260,6438
