mx,my,mz
4169,2297,8587
4161,2261,8623
4177,2216,8595
4037,2180,8693
4051,2143,8737
4058,2136,8687
4008,2101,8732
4008,2101,8732
3999,2073,8788
3969,2093,8871
3935,2066,8798
3908,2063,8855
3905,1995,8900
3878,1954,8765
3890,1931,8864
3853,1926,8794
3891,1917,8808
3919,1930,8800
3919,1930,8800
4032,1967,8701
4133,2057,8562
4199,2038,8479
4291,2028,8321
4340,2038,8263
4394,2019,8162
4443,1982,8106
4444,1994,8025
4463,1977,7961
4447,1969,7989
2592,3632,9796
2594,3513,9796
2684,3455,9797
2692,3431,9762
2808,3398,9709
2892,3351,9670
2948,3303,9692
2969,3240,9620
3021,3191,9651
3084,3154,9622
3126,3080,9604
3181,2944,9487
3244,2897,9543
3242,2896,9544
3204,2915,9486
3224,2922,9532
3233,2860,9487
3314,2915,9487
3311,2871,9490
3304,2935,9497
3338,2924,9447
3357,2902,9433
3392,2826,9390
3392,2826,9390
3466,2751,9353
3442,2704,9324
3526,2818,9263
3606,2729,9165
3668,2710,9122
3706,2738,9120
3725,2731,9095
3753,2610,9050
3763,2437,8938
3802,2347,8904
3765,2436,8908
3728,2486,8996
3671,2539,9032
3627,2542,9095
3070,3143,9552
2998,3204,9570
2903,3267,9623
2824,3331,9629
2735,3387,9692
2642,3412,9695
2544,3495,9749
413,3228,9985
412,3303,9981
412,3303,9968
434,3389,9968
482,3609,9967
453,3719,9918
453,3719,9974
503,3567,9974
530,3517,10017
546,3562,9990
565,3610,10021
572,3595,10020
618,3635,9998
636,3623,9970
693,3677,10001
1002,4064,9889
1088,4150,9846
1116,4189,9848
1210,4272,9824
1282,4301,9823
1282,4275,9814
1347,4275,9814
1390,4250,9802
1378,4315,9828
1429,4340,9752
1492,4415,9730
1556,4512,9630
1581,4586,9621
1581,4576,9584
1655,4576,9584
1655,4576,9584
1718,4510,9666
1753,4494,9657
1810,4531,9586
1875,4555,9583
1913,4567,9568
1991,4545,9593
1991,4557,9517
2041,4557,9517
2066,4512,9544
2124,4476,9543
2153,4464,9551
2195,4461,9587
2228,4451,9539
2940,4093,9503
2953,4064,9509
2965,4040,9527
2977,3975,9531
2988,3923,9513
2973,3923,9495
3012,3997,9529
3079,3966,9483
3089,3888,9488
3088,3776,9524
3156,3656,9526
3195,3632,9517
3193,3600,9508
3214,3533,9485
3210,3501,9506
3210,3501,9506
3229,3446,9528
3218,3385,9524
3253,3332,9594
3230,3273,9541
3239,3240,9586
3270,3210,9542
3241,3212,9578
3247,3161,9626
3219,3138,9607
3209,3086,9601
3167,3031,9625
3154,3037,9572
3156,3063,9696
3133,3154,9636
3116,3241,9659
3125,3135,9709
3164,2921,9664
3157,2801,9658
3172,2729,9669
3171,2702,9658
3142,2616,9654
3099,2587,9624
3062,2581,9679
3008,2485,9673
2990,2435,9676
3029,2369,9705
2970,2392,9712
2978,2373,9696
2966,2294,9704
2767,2307,9782
2739,2203,9752
2727,2198,9775
2665,2201,9779
2134,1984,9918
1984,2094,10003
1969,1808,9915
1973,1639,9869
1940,1565,9822
1899,1544,9814
1925,1570,9845
1926,1633,9801
1926,1633,9777
1911,1599,9777
1918,1557,9780
1915,1500,9752
1938,1548,9776
1935,1587,9808
1954,1611,9830
1376,1961,10010
1386,1928,9980
1333,1890,9957
1344,1937,9987
1285,1965,9987
1301,1962,9944
1319,1927,10041
1508,1891,9990
1515,1941,9948
1443,1912,9997
1472,1840,9955
1445,1845,9984
