mx,my,mz
4232,1592,4737
4475,1804,5037
4562,1724,5223
4685,1690,5802
4685,1690,5802
4747,1717,6479
4725,1836,7015
4725,1836,7015
4390,1927,7914
3944,1934,8489
3570,2019,8835
3570,2019,8835
3021,2003,9190
2414,1895,9323
2757,2087,9224
3374,2162,8990
3974,2304,8523
4398,2151,7919
4398,2151,7919
4691,1944,7101
4818,1920,6656
4818,1920,6656
4835,1908,6186
4835,1908,6186
4835,1908,6186
4753,1829,5470
4432,1785,4843
4292,1738,4661
4251,1710,4585
4247,1648,4642
4327,1728,4708
4452,1749,4916
4452,1749,4916
4752,1947,5496
4752,1947,5496
4752,1947,5496
4752,1947,5496
4752,1947,5496
4935,2124,6222
4873,2179,6871
4824,2165,7179
4673,2257,7597
4578,2449,7854
4728,2497,7523
4728,2497,7108
4872,2389,7108
4939,2232,6659
4939,2232,6659
4913,2168,6288
4888,2117,5873
4888,2117,5873
4888,2117,5873
4888,2117,5873
4835,2084,5479
4835,2084,5479
4835,2084,5479
4538,2008,4932
4153,1866,4493
3988,1857,4298
3890,1809,4262
3931,1756,4280
4052,1797,4418
4208,1824,4529
4576,2042,5070
4576,2042,5070
4576,2042,5070
4576,2042,5070
4892,2344,5769
4980,2460,6362
4980,2460,6921
4929,2597,6921
4929,2597,6921
4837,2721,7389
4607,2773,7841
4447,2837,8109
4267,2913,8371
4156,2965,8542
4811,2842,7418
4935,2689,6957
4955,2501,6407
4942,2351,5942
4942,2351,5942
4942,2294,5344
4775,2294,5344
4775,2294,5344
4641,2368,4877
4641,2368,4877
4506,2382,4654
4242,2479,4260
3976,2626,3956
3766,2802,3720
3766,2802,3720
3580,2856,3603
3468,2904,3560
3505,2862,3555
3505,2862,3555
4103,2717,4050
4612,2777,4611
4667,2483,4954
4667,2483,4954
4961,2702,5519
4961,2702,5519
5049,2806,6049
5085,3175,6032
4887,3077,5196
4887,3077,5196
4596,2884,4615
4398,2840,4364
4386,2986,4348
4565,3300,4645
4565,3300,4645
4969,3958,6123
4819,3922,5342
3835,4294,3984
3835,4294,3984
3153,4477,3686
3153,4477,3452
2629,4651,3452
2203,4785,3381
1930,4850,3398
1736,4805,3387
1601,4674,3262
