mx,my,mz
3625,4158,9011
3539,4270,9015
3496,4316,8999
3440,4379,8948
3390,4423,8981
3418,4441,8937
3418,4441,8937
3441,4477,8899
3564,4459,8835
3768,4387,8637
3768,4387,8637
3954,4391,8514
3946,4437,8432
4063,4438,8378
4086,4402,8332
4139,4359,8256
4183,4242,8272
4253,4218,8363
4245,4118,8346
4228,4111,8361
4228,4111,8361
4230,3970,8453
4230,3970,8453
4270,3816,8513
4272,3707,8511
4327,3579,8472
4327,3579,8472
4292,3616,8491
4298,3605,8544
4217,3548,8623
4001,3537,8862
3745,3497,9095
3284,3509,9443
1362,3657,9864
1594,3645,9823
2133,3860,9741
2832,3936,9481
3569,4048,9059
4134,3957,8527
4134,3957,8527
4134,3957,8134
4500,3666,8134
4776,3255,7709
4868,2895,7439
4813,2982,7561
4584,3082,8217
4584,3082,8217
814,3142,9807
250,3045,9668
-244,3041,9469
-610,3044,9271
-1017,2999,8965
-1275,2987,8761
-1275,2987,8761
-1486,2999,8525
-1727,3013,8180
-1874,2930,7846
-1993,2929,7571
-1993,2929,7571
-2050,2906,7413
-2050,2906,7413
-2043,2928,7402
-2042,2958,7496
-2042,2958,7496
-1966,2988,7693
-1966,2988,7693
-1802,3064,8001
-1604,3133,8372
-1258,3290,8761
-805,3340,9113
-805,3340,9113
-390,3381,9436
19,3397,9595
4551,3325,8230
4735,3244,7827
4879,3245,7557
4935,3283,7218
4987,3267,6936
4987,3267,6936
4995,3267,6743
5013,3222,6622
5005,3223,6513
4982,3320,6494
4987,3323,6402
4992,3249,6692
4947,3274,7276
612,3245,9754
280,3168,9695
280,3178,9565
-67,3178,9565
-345,3198,9434
-639,3154,9268
-890,3189,9045
-1147,3162,8856
-1147,3162,8856
-1353,3082,8605
-1495,3097,8418
-1614,3164,8243
-1695,3098,8150
-1750,3105,8043
-1761,3065,8070
-1727,3136,8092
-980,3304,8972
2962,3685,9503
3044,3820,9458
3079,3834,9458
3073,3860,9410
3148,3823,9371
3222,3840,9299
3351,3846,9273
3427,3897,9209
3589,3960,9067
3800,3947,8937
3800,3947,8937
4044,3966,8676
4211,3923,8545
4330,3963,8285
4474,4004,8038
4556,4033,7858
4689,3995,7663
4733,3947,7565
4716,3958,7602
4651,4004,7685
4568,3992,7900
4416,3957,8148
4236,3982,8448
3948,3961,8810
3664,3899,9125
3265,3880,9313
2855,3900,9512
2445,3919,9653
2052,3914,9758
472,3766,9648
181,3762,9543
-8,3775,9502
-176,3765,9411
-176,3765,9353
-307,3756,9353
-481,3715,9281
-601,3671,9090
-826,3689,9022
-932,3636,8919
-1008,3618,8913
-1091,3608,8810
-1091,3608,8810
-1171,3624,8740
-1265,3632,8668
-1333,3653,8603
-1395,3655,8529
-1473,3663,8399
-1511,3616,8339
-1517,3643,8297
-1554,3676,8259
-1570,3701,8254
-1528,3770,8291
-1451,3802,8339
-1396,3888,8371
-1308,3910,8464
-1242,3984,8523
-1287,4000,8488
-1288,4095,8467
-1308,4118,8385
-1365,4220,8281
-1444,4207,8122
-1444,4207,8122
-1541,4235,7995
-1606,4212,7843
-1660,4211,7785
-1674,4219,7695
-1740,4154,7648
-1740,4154,7648
-1827,4124,7551
-1877,4036,7526
-1879,3987,7443
-1924,3889,7409
-1991,3826,7304
-2009,3767,7239
-2009,3767,7239
-2013,3724,7205
-2095,3616,7088
-2118,3535,7126
-2116,3479,7105
-2142,3400,7095
-2142,3400,7157
-2144,3349,7157
-2120,3381,7190
-2080,3409,7223
-2104,3516,7209
-2055,3634,7279
-2037,3829,7296
-1986,3906,7287
-1986,3906,7287
-1917,4025,7271
-1917,4025,7271
-1895,4124,7138
-1895,4155,7095
-1936,4155,7095
-1911,4195,7035
-1913,4237,6949
-1900,4335,6812
-1900,4335,6812
-1903,4350,6621
-1883,4434,6604
-1825,4459,6837
-1788,4461,7061
-1788,4461,7061
-1766,4438,7309
-1592,4329,7766
-1386,4282,8196
-1037,4133,8676
-1037,4133,8676
-665,3955,9125
-438,3992,9186
-715,4060,8985
-1056,4017,8684
-1925,3872,7452
-1995,3738,7312
-67,3546,9463
-290,3716,9396
