mx,my,mz
-1364,3745,8539
-1390,3580,8554
-1406,3351,8609
-1416,3255,8645
-1384,3247,8655
-1343,3266,8698
-1310,3310,8697
-1345,3309,8672
-1376,3377,8627
-1385,3346,8590
-1412,3335,8601
-1430,3318,8583
-1443,3346,8576
-1372,3363,8633
-1383,3379,8605
-1476,3347,8562
-1508,3199,8484
-1516,3143,8484
-1557,3093,8476
-1521,3086,8479
-1540,3040,8506
-1488,3097,8518
-1537,3145,8486
-1544,3107,8489
-1520,3126,8479
-1500,3078,8515
-1517,2976,8564
-1540,2926,8495
-1581,2872,8482
-1585,2782,8414
-1571,2779,8473
-1515,2727,8480
-1515,2727,8541
-1459,2729,8541
-1481,2758,8610
-1456,2770,8599
-1452,2769,8563
-1514,2692,8565
-1446,2585,8563
-1475,2610,8523
-1464,2619,8585
-1441,2615,8589
-1475,2627,8547
-1519,2603,8515
-1482,2579,8543
-1483,2511,8509
-1485,2462,8480
-1448,2393,8513
-1423,2363,8559
-1389,2297,8602
-1335,2356,8668
-1325,2347,8673
-1346,2336,8666
-1342,2289,8612
-1372,2266,8606
-1328,2230,8655
-1284,2190,8639
-1266,2136,8674
-1205,2083,8675
-1192,2041,8703
-1192,2011,8656
-1192,2011,8656
-1242,1982,8611
-1259,1997,8618
-1259,1997,8584
-1268,1993,8584
-1302,2015,8556
-1308,2031,8555
-1394,2075,8580
-1347,2168,8572
-1347,2168,8572
-1370,2214,8607
-1413,2288,8572
-1413,2288,8582
-1422,2342,8582
-1422,2391,8537
-1555,2495,8506
-1534,2527,8436
-1520,2531,8469
-1578,2585,8439
-1603,2646,8378
-1645,2705,8318
-1673,2731,8243
-1461,2056,8388
-1417,2036,8464
-1376,1988,8432
-1357,1948,8504
-1327,1856,8520
-1288,1829,8594
-1181,1879,8708
-1106,1881,8726
-1054,1836,8760
-1073,1806,8728
-1009,1802,8802
-985,1755,8817
-940,1710,8835
-940,1633,8827
-877,1633,8827
-805,1595,8851
-737,1638,8929
-672,1649,9010
-672,1649,9031
-656,1638,9031
-612,1614,9043
-593,1601,9011
-561,1555,8997
-507,1526,9035
