mx,my,mz
-828,1839,8874
-828,1839,8874
-303,1858,9205
-303,1858,9205
-1125,2412,8789
-685,2282,9119
-685,2282,9119
87,2461,9485
87,2461,9485
87,2541,9578
521,2541,9578
523,2539,9591
179,2679,9575
-401,2896,9307
-682,2991,9161
-682,2991,9161
-391,2770,9341
155,2744,9521
516,2739,9641
477,2726,9571
14,2809,9476
14,2809,9476
-543,3162,9198
-861,3055,9015
-296,3044,9369
177,3180,9489
177,3180,9489
-978,3903,8720
-985,3781,8737
-985,3781,8737
-825,3556,9003
-458,3451,9224
-268,3680,9228
-619,3905,8979
-1035,4257,8512
-1292,4172,8336
-1364,4170,8228
-1365,3972,8412
-850,3858,8855
-179,4121,9146
-16,4109,9281
-661,4136,8899
-703,3252,9122
431,3141,9637
1684,3571,9681
3027,3673,9317
4233,3416,8324
4233,3416,8324
4893,3312,6817
4893,3312,6817
4893,3312,6817
4881,3052,5590
4881,3052,5590
4494,3019,4620
4494,3019,4620
4494,3019,4620
3670,3114,3734
3670,3114,3734
2910,3031,3310
2910,3031,3310
2889,3064,3353
2889,3064,3353
3792,3335,3992
3792,3335,3992
3792,3335,3992
3792,3335,3992
3792,3335,3992
4651,3689,5260
4898,3731,6391
4914,3536,6545
4914,3536,6545
4938,3098,5908
4938,3098,5908
4674,2881,5060
4674,2881,5060
4185,3036,4275
4185,3036,4275
3832,3267,3917
4100,3459,4258
4100,3459,4258
4100,3459,4258
4100,3459,4258
4100,3459,4258
4598,3658,5128
4598,3658,5128
4837,3672,5921
4899,3638,6494
4899,3638,6494
4912,3467,6408
4912,3467,6408
4832,3204,5503
4832,3204,5503
4832,3204,5503
4832,3204,5503
4386,3262,4592
3935,3341,4062
3988,3439,4128
3988,3439,4128
4587,3512,5041
4587,3512,5041
4587,3512,5041
4907,3477,6251
4813,3614,7044
4813,3614,7403
4641,3878,7403
4675,3951,7253
4675,3951,7253
4909,3640,6544
4909,3640,6544
4909,3640,6544
4782,3395,5511
4782,3395,5511
4389,3397,4578
4389,3397,4578
4389,3397,4578
3709,3550,3837
3197,3518,3498
3197,3518,3498
3671,3576,3803
3671,3576,3803
4326,3738,4688
4326,3738,4688
4326,3738,4688
4326,3738,4688
4326,3738,4688
4797,3937,5871
4706,4090,7090
4706,4090,7090
4706,4090,7090
4220,4362,7984
3783,4505,8435
3903,4438,8232
4211,4297,7900
4211,4297,7900
4584,4146,7304
4584,4146,7304
4841,3916,6380
4841,3916,6380
4841,3916,6380
4841,3916,6380
4624,3899,5193
4624,3899,5193
3874,3948,4090
3382,4007,3779
3755,4147,4226
4421,4361,5336
4421,4361,5336
4421,4361,5336
4607,4403,6567
4335,4474,7541
4335,4474,7541
3931,4619,8090
3931,4619,8090
3656,4635,8350
3656,4635,8350
4033,4542,7952
4033,4542,7952
4617,4296,6907
4617,4296,6907
4617,4296,6907
4617,4296,6907
4697,4158,5906
4697,4158,5906
4406,4072,4903
3218,4253,3768
3218,4253,3661
2941,4153,3661
3711,4193,4143
4333,4378,5226
4333,4378,5226
4333,4378,5226
4333,4378,5226
4333,4378,5226
4610,4412,6638
4610,4412,6638
4211,4557,7678
4211,4557,7678
3623,4746,8341
3025,4772,8761
3165,4760,8651
3165,4760,8345
3773,4505,8345
3773,4505,8345
4240,4210,7907
4645,4015,7298
4645,4015,7298
4645,4015,7298
4761,3771,5672
4454,3741,4830
4454,3797,4521
4204,3797,4521
4736,4036,5946
4662,4081,7159
4662,4081,7159
4140,4280,8036
4140,4280,8036
3421,4320,8785
2619,4398,9244
2275,4402,9290
2275,4402,9290
2798,4069,9289
2798,4069,9289
3605,3602,8934
3605,3602,8934
4305,3418,8183
4305,3418,8183
4893,2816,5642
4799,2678,5459
4889,3071,7249
4889,3071,7249
4889,3071,7249
4889,3071,7249
4281,3595,8333
4281,3595,8333
3369,3956,9045
2600,4021,9352
2643,3960,9393
2643,3960,9393
3460,3472,9118
3460,3472,9118
4281,2957,8419
4281,2957,8419
4281,2957,8419
4936,2293,6531
4748,2102,5504
4526,2112,4979
4982,2782,6704
4982,2782,6704
4618,3304,7888
3943,3617,8714
3943,3617,8714
3943,3617,8714
3317,3745,9167
3181,3594,9245
3181,3594,9245
3658,3216,9057
4212,2847,8525
4212,2847,8525
4623,2642,7871
4689,1860,5499
4595,1842,5281
4702,3041,7861
4065,3397,8695
3339,3419,9238
3187,3393,9260
3187,3393,9260
3765,3107,8946
4378,2718,8305
4536,1560,5467
4391,1461,5226
4621,2628,7948
4052,2916,8679
3638,2868,9087
3658,2876,9038
4512,1451,5362
3900,1208,4656
4032,1226,4795
4527,2475,8025
4527,2475,8025
4090,2616,8597
3793,2880,8847
3890,2801,8801
4515,1546,7279
4515,1546,7279
4515,1546,7279
4515,1546,7279
4465,1135,6474
4108,882,5506
3677,825,4801
4728,2213,7229
4512,2674,8049
4066,2746,8729
4066,2746,8729
3892,2446,8784
4213,2163,8284
4745,2185,7343
4300,2106,8162
4300,2106,8162
3804,2094,4052
3322,2166,3625
4900,2346,6800
4660,2437,7806
4961,2694,6694
4953,3169,6629
4741,3045,7598
4590,2981,7882
4760,2953,7469
4959,3038,5799
4574,3143,4806
3922,3371,3970
3459,3386,3632
3459,3386,3632
3732,3457,3886
4917,3539,6862
4621,3605,7671
4430,3574,8036
4543,3584,7815
4921,3467,6125
4678,3331,5106
4678,3331,5106
4096,3499,4212
3685,3526,3846
3930,3561,4068
4440,3555,4774
4440,3555,4774
4778,3734,7076
4493,3847,7844
4285,3795,8211
4430,3754,7924
4865,3579,5779
4567,3687,4989
4036,3776,4252
4036,3776,4252
3726,3983,4004
3726,3983,4004
4050,3978,4377
4672,4190,6830
4277,4280,7884
3871,4296,8399
3840,4237,8492
4672,3836,5147
4087,3783,4224
3878,3842,4081
4474,4119,7711
3917,4331,8388
3624,4158,8697
3952,3992,8457
4924,3503,6326
4869,3285,5585
4542,3674,7764
3775,3838,8714
2853,3980,9271
2299,4085,9407
2548,4060,9341
3439,3849,8948
2919,3040,9406
2228,2831,9633
2390,2680,9625
3203,2696,9306
3203,2696,9306
4915,3039,6616
4902,3193,5646
4772,3177,5314
4911,2941,7152
4230,2680,8496
4230,2680,8496
3132,2518,9381
2323,2622,9614
2323,2622,9614
2280,2308,9590
2990,2219,9314
2990,2219,9314
2990,2219,9314
2990,2219,8728
3909,2243,8728
4905,2551,7207
4905,2551,7207
4323,2369,8366
4323,2369,8366
3488,2306,9135
2853,2230,9377
3009,2153,9357
3009,2153,9357
3009,2153,8780
3800,2024,8780
4880,2127,6926
4435,1964,8109
4435,1964,8109
3648,1835,8878
3049,1856,9242
3116,1808,9231
3116,1808,9231
3809,1695,8636
4645,2100,5107
4345,2097,4642
4793,1846,8021
4275,1711,8021
3617,1628,8779
3340,1566,8893
3706,1607,8627
4002,1658,8433
3678,1596,8705
4719,1699,5991
4396,1960,8102
3835,2096,8810
3066,2335,9354
3066,2335,9354
2583,2628,9562
2275,2671,9638
2111,2743,9717
2048,2865,9714
1973,3020,9732
1849,3094,9777
1813,3229,9741
1798,3290,9763
1813,3432,9685
1954,3629,9627
1896,3603,9625
1845,3524,9688
1845,3524,9688
1808,3440,9719
1796,3349,9730
1803,3183,9738
1856,3013,9770
2012,2867,9756
2123,2686,9720
2311,2570,9656
3631,3756,8812
3466,3829,8974
3466,3829,8974
3233,3836,9079
3233,3836,9079
3160,3937,9038
3258,4040,8991
3439,4112,8838
3903,3976,8492
4060,3584,8466
3837,3571,8749
3837,3571,8749
3592,3560,8937
3636,3590,8888
3914,3584,8646
4349,3324,8132
4291,2809,8298
4291,2809,8298
4291,2618,8635
3992,2618,8635
3687,2712,8958
3503,2962,9067
3640,3059,8976
3931,3020,8761
3931,3020,8532
4167,2917,8532
4167,2917,8532
4242,2727,8406
4173,2479,8416
4173,2479,8416
3960,2361,8674
3612,2454,8983
3348,2590,9194
3421,2691,9151
3771,2632,8880
3408,1845,8982
3230,1916,9150
3056,1963,9219
3073,2236,9276
3197,2366,9221
3475,2488,9132
3717,2459,8938
3479,1903,8928
3189,1963,9199
2961,2201,9353
3000,2288,9331
3173,2266,9224
3458,2204,9018
4090,2782,8599
4090,2782,8599
4097,2929,8595
4069,3155,8604
4062,3344,8577
3990,3580,8642
3990,3580,8642
3948,3779,8564
3874,3895,8612
3874,3895,8612
3825,4000,8623
3757,4058,8656
3703,4128,8662
3594,4244,8678
3594,4244,8678
3541,4304,8662
3510,4401,8687
3456,4423,8647
4428,3212,8223
4396,3181,8175
4250,2717,8491
4107,2723,8647
3854,2851,8884
3669,2920,8984
3550,2951,9095
2832,3637,9373
2246,3824,9535
1757,3436,9677
1433,3683,9605
1436,3809,9595
1588,3903,9596
1588,3903,9596
1595,4025,9499
1584,4157,9458
1582,4237,9423
1667,4280,9435
1834,4269,9342
1877,4345,9360
1649,4448,9350
1488,4478,9342
1306,4505,9291
1160,4565,9269
1050,4524,9277
953,4506,9238
953,4506,9238
820,4509,9229
791,4487,9231
649,4435,9248
641,4433,9282
533,4424,9251
463,4376,9213
324,4300,9196
227,4227,9211
263,4223,9290
467,4065,9402
631,3904,9532
645,3821,9481
263,3822,9400
-344,3855,9142
-579,3849,9076
-263,3672,9254
254,3509,9530
654,3483,9581
901,3383,9686
785,3447,9681
-949,3484,8840
-614,3234,9155
-273,3083,9346
38,2932,9496
427,2764,9601
625,2635,9674
593,2589,9620
238,2654,9529
-246,2616,9298
-499,2480,9192
-243,2300,9309
266,2256,9516
742,2123,9580
742,2123,9580
1189,1979,9629
1554,1952,9677
1553,1935,9617
1233,1995,9653
728,2111,9590
164,2178,9396
-203,2180,9263
67,2004,9390
542,1888,9471
1056,1742,9461
1508,1684,9516
1508,1684,9516
1805,1641,9443
1710,1724,9542
1355,1846,9570
1039,1858,9513
1066,1871,9550
1544,1780,9536
2075,1823,9473
2532,1830,9397
2799,1776,9313
2695,1931,9414
2326,2139,9535
1809,2289,9682
1175,2303,9644
1039,2264,9610
1315,3712,9658
595,4007,9472
693,3921,9501
622,2999,9701
506,2992,9629
285,3036,9594
-216,2978,9428
697,2502,9665
808,2450,9718
721,2441,9668
279,2487,9596
-305,2759,9353
-521,2673,9190
-269,2441,9358
213,2319,9537
416,2141,9536
38,2132,9387
-122,2104,9283
