mx,my,mz
4789,3239,5442
4560,2639,4831
4560,2639,4831
4280,2236,4590
4272,2219,4645
4454,2317,4801
4689,2631,5163
4837,3095,5448
4837,3095,5448
4837,3483,5800
4850,3483,5800
4850,3483,5800
4850,3483,5800
4849,3881,6238
4651,4333,6762
4651,4333,6762
4651,4556,7295
4392,4556,7295
4392,4556,7295
4298,4542,7469
4519,4404,7187
4519,4404,7187
4750,4079,6815
4750,4079,6815
4892,3790,6435
4892,3790,6435
4892,3790,6435
4715,2789,5164
4715,2789,5164
4469,2338,4821
4469,2338,4821
4610,2399,5112
4850,2849,5515
4926,3278,6049
4926,3278,6049
4942,3564,6567
4942,3564,6567
4752,3742,7124
4752,3742,7124
4438,4081,7734
4193,4210,7984
4390,4095,7774
4654,3917,7399
4654,3917,7399
4809,3813,7016
4809,3813,7016
4809,3813,7016
4882,3575,6044
4778,3237,5428
4699,3123,5250
4829,3441,5656
4871,3653,6496
4871,3653,6496
4861,3565,6984
4861,3565,6984
4764,3464,7414
4641,3427,7629
4669,3202,7715
4669,3202,7715
4873,3296,7088
4949,3284,6811
4596,3179,7872
4351,3131,8330
4021,3113,8667
3945,3172,8810
4143,3133,8590
4454,3112,8136
4678,3019,7718
4725,3012,7641
4533,2978,8050
4395,3018,8287
4282,3023,8407
4282,3023,8407
4249,3065,8507
4249,3065,8507
4371,3047,8265
4824,3112,7392
4624,3234,7897
4377,3279,8330
4013,3072,8744
3709,3036,9015
3709,3036,8942
4725,2982,7649
4725,2982,7649
4725,2982,7649
4694,3408,7603
4695,3661,7327
4777,3705,7096
4839,3700,6946
4823,3571,6918
4911,3435,6429
4915,3607,6131
4870,3622,6640
4870,3622,6640
4870,3622,6640
4870,3622,6640
4870,3622,6640
4637,3367,7808
4121,3142,8599
3757,2961,8922
3894,2958,8754
4296,3073,8346
4802,3180,5564
4627,2368,7615
4324,2509,8270
3975,2689,8709
3755,2713,8927
3893,2676,8801
3893,2629,8241
4280,2629,8241
4503,2427,7980
4118,2586,8567
3786,2678,8865
3690,2725,9019
4012,2590,8688
4349,2564,8234
4913,2367,6490
4913,2250,7344
4779,2250,7344
4416,2201,8081
3987,2427,8729
3987,2427,8729
3537,2596,9112
3537,2596,9112
3478,2648,9157
3478,2648,9157
3857,2420,8800
4238,2263,8405
4238,2263,8405
4546,2157,7651
4841,2261,6610
4841,2261,6610
4841,2261,6610
4753,2361,7452
4753,2361,7452
4451,2374,7973
4113,2478,8601
4113,2478,8601
3623,2624,9021
3224,2715,9292
3399,2610,9149
3399,2610,9149
3839,2480,8830
4241,2318,8254
